RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
5403,130013000,1999-07-01T00:00:00.000Z,285000,758:737
5404,130014000,2007-08-02T00:00:00.000Z,0,1153:664
5405,130014000,2002-06-26T00:00:00.000Z,390000,858:333
5406,130014000,1997-11-19T00:00:00.000Z,0,707:134
5407,130014000,1985-03-01T00:00:00.000Z,0,0:0
5408,130015000,2006-10-20T00:00:00.000Z,702500,1112:693
5409,130015000,2002-04-30T00:00:00.000Z,508000,850:455
5410,130015000,1984-10-19T00:00:00.000Z,142000,0:0
5411,130015000,2014-04-22T00:00:00.000Z,689500,2014:1234
5412,130015000,1995-08-23T00:00:00.000Z,330000,657:424
5413,130016000,1980-08-15T00:00:00.000Z,86500,413:248
5414,130016000,2016-06-27T00:00:00.000Z,0,2016:2344
5415,130016000,2003-10-14T00:00:00.000Z,0,940:813
5416,130017000,1999-01-12T00:00:00.000Z,0,WB 42:697
5417,130018000,1998-07-01T00:00:00.000Z,182500,725:626
5418,130018000,1987-02-04T00:00:00.000Z,130000,490:377
5419,130018000,1988-07-26T00:00:00.000Z,138000,515:559
5420,130019000,1955-11-02T00:00:00.000Z,5500,187:499
5421,130019000,1998-05-01T00:00:00.000Z,215000,719:792
5422,130020000,2000-06-01T00:00:00.000Z,192000,782:141
5423,130020000,1989-09-29T00:00:00.000Z,158500,0:0
5424,130020000,1995-09-11T00:00:00.000Z,0,658:735
5425,130021000,2007-12-03T00:00:00.000Z,545000,1168:512
5426,130021000,1982-12-29T00:00:00.000Z,87000,0:0
5427,130021000,2004-01-23T00:00:00.000Z,367000,955:831
5428,130021000,1996-06-26T00:00:00.000Z,214000,674:560
5429,130021000,2016-06-02T00:00:00.000Z,540000,2016:1946
5430,130022000,2015-11-25T00:00:00.000Z,0,W2015:642
5431,130022000,1900-01-01T00:00:00.000Z,0,0:0
5432,130022000,2015-12-01T00:00:00.000Z,467000,2015:4406
5433,130023000,2014-04-11T00:00:00.000Z,430000,2014:1134
5434,130023000,1972-06-15T00:00:00.000Z,47500,336:483
5435,130023000,1984-12-05T00:00:00.000Z,149000,458:293
5436,130024000,1979-04-19T00:00:00.000Z,0,WB23:328
5437,130024000,1993-10-01T00:00:00.000Z,110000,613:1
5438,130025000,2004-01-05T00:00:00.000Z,325000,952:825
5439,130025000,1986-01-16T00:00:00.000Z,90000,473:391
5440,130025000,1974-06-10T00:00:00.000Z,42500,0:0
5441,130025000,2004-04-07T00:00:00.000Z,0,967:247
5442,130026000,1996-11-15T00:00:00.000Z,125000,683:410
5443,130026000,1982-11-18T00:00:00.000Z,0,0:0
5444,130026000,2007-11-28T00:00:00.000Z,0,1167:807
5445,130027000,1988-08-08T00:00:00.000Z,94900,516:344
5446,130027000,1996-06-12T00:00:00.000Z,149500,673:355
5447,130028000,1987-12-01T00:00:00.000Z,85000,504:807
5448,130028000,1988-04-22T00:00:00.000Z,104500,510:234
5449,130029000,1983-06-01T00:00:00.000Z,74000,438:475
5450,130029000,2004-05-14T00:00:00.000Z,311000,974:635
5451,130030000,2008-01-30T00:00:00.000Z,620000,1174:619
5452,130030000,1979-08-09T00:00:00.000Z,72500,404:840
5453,130030000,2003-06-27T00:00:00.000Z,430000,917:1
5454,130031000,1998-09-08T00:00:00.000Z,160000,732:267
5455,130031000,2010-04-28T00:00:00.000Z,379000,2010:1464
5456,130031000,1976-08-03T00:00:00.000Z,46277,377:1
5457,130032000,1994-05-25T00:00:00.000Z,182500,631:276
5458,130032000,1990-05-30T00:00:00.000Z,175000,543:334
5459,130033000,2000-01-06T00:00:00.000Z,0,772:861
5460,130033000,1999-07-01T00:00:00.000Z,0,758:580
5461,130033000,1997-02-01T00:00:00.000Z,0,446:269
5462,130033000,1984-01-03T00:00:00.000Z,85000,0:0
